date,backup_type,database,start_time,end_time,status,size_gb,checksum_verified,stored_location,notes
2025-12-08,full,nexgen_production,02:00,02:49,success,173.7,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-09,full,nexgen_production,02:00,02:55,success,174.1,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-10,full,nexgen_production,02:00,02:47,success,174.6,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-11,full,nexgen_production,02:00,02:52,success,175.0,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-12,full,nexgen_production,02:00,02:50,success,175.5,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-13,full,nexgen_production,02:00,02:48,success,175.9,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-14,full,nexgen_production,02:00,02:53,success,176.4,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-15,full,nexgen_production,02:00,02:51,success,176.8,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-16,full,nexgen_production,02:00,02:49,success,177.3,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-17,full,nexgen_production,02:00,02:55,success,177.7,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-18,full,nexgen_production,02:00,02:47,success,178.2,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-19,full,nexgen_production,02:00,02:52,success,178.6,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-20,full,nexgen_production,02:00,02:50,success,179.0,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-21,full,nexgen_production,02:00,02:48,success,179.5,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-22,full,nexgen_production,02:00,02:53,success,179.9,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-23,full,nexgen_production,02:00,02:51,success,180.4,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-24,full,nexgen_production,02:00,02:49,success,180.8,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-25,full,nexgen_production,02:00,02:55,success,181.3,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-26,full,nexgen_production,02:00,02:47,success,181.7,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-27,full,nexgen_production,02:00,02:52,success,182.2,yes,gs://nexgen-backup-us-east1/daily/,
2025-12-28,full,nexgen_production,02:00,02:50,success,182.6,yes,gs://nexgen-backup-us-east1/daily/,
