alert_id,alert_date,alert_time_utc,severity,alert_rule,description,source_service,acknowledged_time_utc,response_time_minutes,sla_target_minutes,sla_met,responder,resolution,incident_created,notes
ALT-Q4-015,2025-10-23,15:18:00,Low,COMPLIANCE-002,IAM user access key older than 90 days — svc-legacy-reports,config-service,2025-10-24 10:00:00,1122,1440,Yes,Aisha Patel,Key rotated. Automated rotation configured via Vault.,No,
ALT-Q4-016,2025-10-25,06:33:00,High,PRIV-ESC-002,sudo access granted to non-admin user on bastion host,admin-dashboard,06:58:00,25,60,Yes,Carlos Mendez,Temporary sudo for emergency maintenance. Access revoked after 2 hours. Break-glass procedure documented.,No,
ALT-Q4-017,2025-10-27,12:05:00,Medium,INFRA-CONFIG-002,WAF rule disabled in production — rule ID WAF-OWASP-SQLi-001,api-gateway,13:30:00,85,240,Yes,Dmitri Volkov,Rule temporarily disabled by SRE due to false positive blocking legitimate traffic. Rule re-enabled with refined pattern after 45 minutes.,No,
ALT-Q4-018,2025-10-29,18:42:00,Critical,AUTH-BRUTE-002,Credential stuffing attack — 12000 login attempts in 10 minutes from botnet (multiple IPs),user-auth-service,18:48:00,6,15,Yes,Aisha Patel,Rate limiting engaged automatically. Attacker IPs blocked. No successful authentications. WAF bot protection rules updated.,Yes,INC-2025-Q4-018
ALT-Q4-019,2025-10-31,09:15:00,Low,COMPLIANCE-004,Unencrypted EBS volume detected — vol-0a1b2c3d4e5f (attached to staging instance),config-service,2025-10-31 14:00:00,285,1440,Yes,Carlos Mendez,Staging volume — encrypted and replaced. SCP updated to prevent future unencrypted volume creation.,No,
ALT-Q4-020,2025-11-02,03:28:00,High,NET-ANOMALY-003,Outbound connection to known C2 IP 198.51.100.187 from 10.20.4.22,network,03:45:00,17,60,Yes,Dmitri Volkov,Endpoint isolated. Full forensic analysis. Connection was DNS resolution for a domain that recently rotated to a known-bad IP. No malicious activity confirmed. CrowdStrike scan clean.,Yes,INC-2025-Q4-021
ALT-Q4-021,2025-11-04,14:55:00,Medium,DATA-ACCESS-003,Database admin query executed outside maintenance window — DELETE on customer_events table,customer-data-api,16:40:00,105,240,Yes,Aisha Patel,DBA performed data cleanup per approved JIRA ticket. Maintenance window requirement reminder sent to DBA team.,No,
ALT-Q4-022,2025-11-06,08:12:00,Critical,DATA-EXFIL-003,AWS S3 GetObject spike — 4500 requests in 5 minutes from IAM role arn:aws:iam::123456789012:role/LambdaDataProcessor targeting atlas-cloud-customer-docs bucket,file-storage-service,08:18:00,6,15,Yes,Carlos Mendez,Lambda function processing large batch job. Confirmed legitimate. Alert threshold adjusted for batch processing hours.,No,
ALT-Q4-023,2025-11-08,11:30:00,Low,COMPLIANCE-005,CloudTrail logging paused for 8 minutes in us-east-1 due to S3 bucket policy misconfiguration,config-service,2025-11-09 09:00:00,1290,1440,Yes,Dmitri Volkov,S3 bucket policy corrected. CloudTrail logs verified — no gap in coverage (buffered and delivered after policy fix).,No,
ALT-Q4-024,2025-11-10,20:15:00,High,AUTH-PRIV-001,Okta admin role assigned to user not in authorized admin group — user: temp-contractor-0847,user-auth-service,20:32:00,17,60,Yes,Aisha Patel,Role assignment reversed within 30 minutes. HR confirmed contractor was supposed to have limited read-only access. Okta admin provisioning workflow tightened.,Yes,INC-2025-Q4-024
ALT-Q4-025,2025-11-12,05:44:00,Medium,INFRA-CREATE-002,New RDS instance created in production account — not matching any approved Terraform plan,config-service,08:20:00,156,240,Yes,Carlos Mendez,Instance created by Platform team for database migration testing. Should have used staging. Instance terminated.,No,
ALT-Q4-026,2025-11-14,16:08:00,Critical,MALWARE-EDR-002,CrowdStrike detection — Cobalt Strike beacon indicators on endpoint SRE-WS-012 (user: k.nakamura),endpoint,16:14:00,6,15,Yes,Dmitri Volkov,Endpoint immediately isolated. Full forensic investigation. Determined to be authorized red team exercise — Security team was conducting internal testing but failed to notify SOC. Process updated to require SOC pre-notification for red team activities.,Yes,INC-2025-Q4-026
ALT-Q4-027,2025-11-15,22:33:00,High,NET-ANOMALY-002,Unusual outbound traffic volume from ml-inference-engine — 15GB in 1 hour (baseline: 2GB/hour),ml-inference-engine,22:50:00,17,60,Yes,Aisha Patel,ML model retraining job generating large output dataset. Confirmed legitimate. Alert baseline updated for retraining windows.,No,
ALT-Q4-028,2025-11-17,09:45:00,Medium,AUTH-ANOMALY-004,Multiple failed MFA challenges for user d.owens@atlascloud.io (CTO) — 5 failures in 3 minutes,user-auth-service,11:20:00,95,240,Yes,Carlos Mendez,User confirmed hardware token battery was dying. Token replaced. No unauthorized access.,No,
ALT-Q4-029,2025-11-19,14:22:00,Critical,DATA-ACCESS-007,Bulk customer PII export — 50000 records exported via customer-data-api by svc-support-tool,customer-data-api,14:29:00,7,15,Yes,Dmitri Volkov,Support tool performing authorized bulk export for enterprise customer data migration. Export was pre-approved (JIRA SUP-8934). Alert rule updated to check against pre-approved export tickets.,No,
ALT-Q4-030,2025-11-21,01:12:00,Low,COMPLIANCE-006,Kubernetes pod running as root in production — search-indexer pod search-indexer-7b9f8c-x4kml,search-indexer,2025-11-21 09:30:00,498,1440,Yes,Aisha Patel,Pod security context corrected in Helm chart. Redeployed with non-root user. PSP violation indicates Kyverno policy was not enforcing on this namespace.,No,
ALT-Q4-031,2025-11-23,17:45:00,Critical,AUTH-BRUTE-003,Distributed brute force — 8500 attempts against /api/v2/auth/login from 340 unique IPs,user-auth-service,17:51:00,6,15,Yes,Carlos Mendez,Automated bot protection engaged. Geographic rate limiting applied. No successful authentications.,No,
ALT-Q4-032,2025-11-25,10:30:00,Medium,INFRA-CONFIG-004,AWS Config rule non-compliant — 3 EBS volumes without encryption in production,config-service,12:15:00,105,240,Yes,Dmitri Volkov,Volumes attached to newly provisioned instances created via CLI (bypassed Terraform). Volumes encrypted in place. CLI deployment blocked via SCP.,No,
ALT-Q4-033,2025-11-27,07:22:00,High,NET-EXFIL-001,Large file upload to external IP — 3.2GB uploaded from 10.20.5.33 to 104.248.67.12 via HTTPS,network,07:40:00,18,60,Yes,Aisha Patel,Investigated — automated backup to authorized off-site storage (Backblaze B2). IP verified as Backblaze endpoint. Alert allowlist updated.,No,
ALT-Q4-034,2025-11-29,23:55:00,Critical,INFRA-ANOMALY-001,Production EKS cluster scaling event — 47 new pods created in 2 minutes (normal: 2-3 pods/hour),background-worker,2025-11-30 00:01:00,6,15,Yes,Carlos Mendez,Auto-scaler responded to sudden traffic spike (Black Friday overflow). Confirmed legitimate scaling behavior.,No,
ALT-Q4-035,2025-12-01,13:15:00,Medium,DATA-ACCESS-006,Unusual database schema modification in production — ALTER TABLE on customer_accounts,customer-data-api,14:45:00,90,240,Yes,Dmitri Volkov,Approved schema migration per release notes v4.2.1. DBA confirmed migration was in the approved change window.,No,
ALT-Q4-036,2025-12-03,06:08:00,High,PRIV-ESC-003,AWS IAM role assumption from unexpected account — arn:aws:iam::987654321098:role/CrossAccountAudit,config-service,06:25:00,17,60,Yes,Aisha Patel,Role assumption from auditor's AWS account. Confirmed authorized — SOC 2 auditor performing evidence collection. Role has read-only access.,No,
ALT-Q4-037,2025-12-05,19:33:00,Critical,AUTH-CRED-003,Exposed credential detected — API key found in public GitHub repository (atlas-cloud/frontend-sdk commit abc1234),user-auth-service,19:39:00,6,15,Yes,Carlos Mendez,API key immediately revoked. Key was a test/staging key with no production access. Developer counseled. Pre-commit hook for secret detection deployed to repository.,Yes,INC-2025-Q4-037
ALT-Q4-038,2025-12-07,11:22:00,Medium,NET-ANOMALY-004,DNS query volume spike — 450% increase in DNS queries from data-pipeline service,data-pipeline,13:00:00,98,240,Yes,Dmitri Volkov,New data source integration causing high DNS resolution volume. Caching DNS resolver deployed to reduce query volume.,No,
ALT-Q4-039,2025-12-09,04:17:00,Critical,DATA-EXFIL-004,Database query returning >100K rows from customer_accounts table by user svc-analytics,customer-data-api,04:25:00,8,15,Yes,Aisha Patel,Analytics service running quarterly aggregation job. Pre-approved in change calendar. Alert updated to recognize scheduled analytics windows.,No,
ALT-Q4-040,2025-12-11,15:40:00,High,MALWARE-EDR-003,CrowdStrike detection — suspicious DLL side-loading on endpoint FINANCE-WS-003 (user: m.johnson),endpoint,15:55:00,15,60,Yes,Carlos Mendez,Endpoint isolated. Full scan performed. DLL was legitimate third-party finance software update. CrowdStrike exclusion added after vendor verification.,No,
ALT-Q4-041,2025-12-14,08:45:00,Critical,INFRA-CRITICAL-001,Production database failover triggered — RDS Multi-AZ failover event on atlas-prod-primary,customer-data-api,08:50:00,5,15,Yes,Dmitri Volkov,Automated failover due to underlying hardware issue on primary. Failover completed in 37 seconds. No data loss. AWS support case opened.,Yes,INC-2025-Q4-041
ALT-Q4-042,2025-12-14,08:52:00,Critical,INFRA-CRITICAL-002,Application error rate spike — 34% error rate on customer-data-api (baseline: 0.1%),customer-data-api,08:50:00,-2,15,Yes,Dmitri Volkov,Already investigating per ALT-Q4-041. Error rate caused by database failover. Connections re-established within 90 seconds. Error rate returned to baseline by 08:55.,No,Related to INC-2025-Q4-041
ALT-Q4-043,2025-12-14,09:01:00,High,AUTH-ANOMALY-005,Authentication latency spike — p99 latency 4200ms (baseline: 180ms) on user-auth-service,user-auth-service,08:50:00,-11,60,Yes,Dmitri Volkov,Already investigating per ALT-Q4-041. Auth latency caused by database failover cascading to auth service. Resolved when database connections stabilized.,No,Related to INC-2025-Q4-041. Acknowledged before alert generated (team already engaged).
ALT-Q4-044,2025-12-17,21:08:00,Critical,NET-C2-001,Outbound connection to Tor exit node from 10.20.6.15,network,21:27:00,19,15,No,Carlos Mendez,Endpoint quarantined. Investigation determined developer was testing Tor connectivity for a customer feature request. No malicious activity. Developer reminded of acceptable use policy. **SLA missed by 4 minutes — team was occupied with ongoing incident INC-2025-Q4-041 post-mortem meeting.**,No,SLA breach — 19 minutes vs 15-minute target
ALT-Q4-045,2025-12-22,03:33:00,Critical,DATA-ACCESS-008,Privileged database access outside maintenance window — DBA direct connection to atlas-prod-primary from 10.50.2.8,customer-data-api,03:58:00,25,15,No,Dmitri Volkov,DBA was performing emergency index rebuild due to query performance degradation affecting customers. Approved verbally by CTO (Derek Owens) at 03:30. Written approval documented post-hoc at 09:00. **SLA missed by 10 minutes — on-call engineer was handling simultaneous page for eu-west-1 latency issue.**,Yes,INC-2025-Q4-045. SLA breach — 25 minutes vs 15-minute target. On-call was handling concurrent alert.
