risk_id,risk_title,risk_description,risk_owner,risk_domain,likelihood_pre,impact_pre,rating_pre,likelihood_post,impact_post,rating_post,treatment_strategy,assigned_controls,control_effectiveness,last_comprehensive_review,last_quarterly_review,next_review,change_history,change_justification
ZC-RISK-011,API authentication bypass vulnerability,"Zero-day or unpatched vulnerability in API authentication layer allows unauthorized access to customer accounts or data",Rajesh Mehta,Information Security,2,5,Medium,1,5,Medium,Mitigate,"WAF rules, API gateway validation, bug bounty program (HackerOne), quarterly pentesting, DAST scanning",High,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-012,Compliance gap — GDPR data subject rights,"Failure to process data subject access/deletion requests within 30-day regulatory timeline due to incomplete data mapping",David Cho,Compliance,2,3,Medium,2,2,Low,Mitigate,"Data catalog (Alation), automated DSR workflow (OneTrust), monthly compliance testing",Medium,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-013,Disaster recovery — RTO/RPO failure,"Production disaster recovery fails to meet defined RTO (4 hours) or RPO (1 hour) targets due to untested or incomplete DR procedures",Tom Harrington,Operational,2,4,Medium,2,3,Medium,Mitigate,"Automated DR runbooks, bi-annual DR testing, multi-AZ deployment, cross-region replication",Medium,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-014,Cryptographic key compromise,"Compromise of TLS certificates, API keys, or encryption keys used to protect data in transit or at rest",Rajesh Mehta,Information Security,2,4,Medium,1,4,Medium,Mitigate,"AWS KMS with hardware security modules, automated key rotation, Vault for secrets management, certificate pinning",High,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-015,Phishing attack compromising employee credentials,"Targeted phishing campaign compromises employee credentials leading to unauthorized access to internal systems or customer data",Rajesh Mehta,Information Security,4,3,High,2,3,Medium,Mitigate,"Phishing-resistant MFA (FIDO2), security awareness training (quarterly KnowBe4), email filtering (Proofpoint), DMARC enforcement",High,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-016,CI/CD pipeline compromise,"Attacker gains access to CI/CD pipeline (GitHub Actions, ArgoCD) and injects malicious code into production deployments",Tom Harrington,Information Security,2,5,Medium,1,4,Medium,Mitigate,"Pipeline hardening, signed commits, OIDC-based deployment auth, artifact signing (Cosign), deployment approvals for production",Medium,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-017,Customer data retention non-compliance,"Failure to delete customer data within contractual or regulatory retention periods, exposing Zenith Cloud to legal liability",David Cho,Compliance,3,3,Medium,2,2,Low,Mitigate,"Automated retention policies, data lifecycle management, quarterly retention compliance audits",Medium,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-018,Multi-tenant data isolation failure,"Logical isolation between customer tenants fails, allowing one customer to access another customer's data",Tom Harrington,Information Security,1,5,Medium,1,5,Medium,Mitigate,"Row-level security in PostgreSQL, tenant-scoped API tokens, automated isolation testing in CI/CD, annual pentest scope includes tenant isolation",High,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-019,Natural disaster — primary data center region,"AWS us-east-1 region experiences extended outage due to natural disaster or catastrophic infrastructure failure",Linda Okafor,Operational,1,4,Medium,1,3,Low,Mitigate,"Multi-region deployment (us-east-1 primary, us-west-2 DR), automated failover, quarterly DR testing",Medium,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-020,Shadow IT proliferation,"Business units adopt unauthorized SaaS tools that process customer data without security review, creating unmonitored data flows and potential compliance violations",Linda Okafor,Operational,3,3,Medium,2,2,Low,Mitigate,"SaaS discovery tool (Productiv), procurement policy requiring IT approval, quarterly SaaS audit, CASB deployment",Medium,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-021,AI model training data leakage,"Customer data inadvertently used in AI/ML model training or exposed through AI-powered features (e.g., copilot, search), violating data processing agreements",Susan Park,Information Security,3,4,High,2,3,Medium,Mitigate,"AI governance policy, data classification tagging, training data pipeline isolation, opt-in only for AI features",Low,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
ZC-RISK-022,Physical security — office access control failure,"Unauthorized physical access to Zenith Cloud offices where employee laptops, network infrastructure, or sensitive documents are present",Linda Okafor,Physical Security,2,2,Low,1,2,Low,Mitigate,"Badge access (Verkada), visitor management, security cameras, clean desk policy, FDE on all laptops",Medium,2025-02-15,2025-12-18,2026-03-15,No changes in Q4,N/A
