qid,cve,severity,cvss_score,title,host,ip_address,port,protocol,first_detected,last_observed,status,asset_owner,jira_ticket,remediation_notes
551345,CVE-2025-21311,Medium,4.9,Windows NTLM V1 EoP,print-srv-06,10.70.2.33,445,tcp,2025-10-20,2025-12-29,Open,IT Operations,VULN-9089,NTLMv1 disabled
551389,CVE-2025-21309,High,7.6,Windows RDS RCE,jump-box-05,10.70.1.38,3389,tcp,2025-11-02,2025-12-29,Remediated,Security Operations,VULN-9155,Emergency Nov 4
551044,CVE-2024-10914,Low,3.6,D-Link NAS Command Injection,nas-archive-03,10.70.5.42,8080,tcp,2025-09-18,2025-12-29,Open,IT Operations,VULN-8956,Isolated — replacement Q1
551311,CVE-2025-0244,Medium,4.3,Chromium Address Bar Spoofing,corp-ws-fleet,10.70.8.0/24,0,tcp,2025-10-15,2025-12-29,Remediated,IT Operations,VULN-9066,Chrome auto-update
551399,CVE-2025-21295,Medium,5.7,SPNEGO NEGOEX RCE,app-cluster-01,10.70.4.12,445,tcp,2025-11-08,2025-12-29,Open,Application Engineering,VULN-9156,Patch tested — January
551066,CVE-2024-43451,Low,3.9,NTLM Hash Disclosure,file-srv-05,10.70.2.22,445,tcp,2025-09-02,2025-12-29,Remediated,IT Operations,VULN-8908,October cycle
551467,CVE-2025-21297,Medium,6.0,Windows RDS Use-After-Free,rdp-pool-03,10.70.1.42,3389,tcp,2025-12-03,2025-12-29,Open,Infrastructure Engineering,VULN-9238,NLA enforced
551100,CVE-2024-55591,High,7.3,FortiOS Auth Bypass,fw-branch-06,10.70.0.5,443,tcp,2025-10-08,2025-12-29,Remediated,Network Engineering,VULN-9033,FortiOS Oct 10
551334,CVE-2025-21294,Medium,6.7,Digest Auth RCE,legacy-api-04,10.70.4.62,135,tcp,2025-11-15,2025-12-29,Open,Application Engineering,VULN-9190,Segmentation applied
551489,CVE-2025-24472,Critical,9.8,FortiOS CSF Auth Bypass,fw-internal-07,10.70.0.7,443,tcp,2025-07-01,2025-12-29,Risk Accepted,Network Engineering,VULN-8650,RA-2025-038 — CISO approved July 8
551145,CVE-2025-0065,Medium,4.5,TeamViewer Privilege Mgmt,support-ws-04,10.70.5.58,5938,tcp,2025-12-08,2025-12-29,Open,IT Operations,VULN-9250,Vendor patch pending
