date,hour,total_requests,gateway_requests,direct_admin_api_requests,gateway_pct,admin_api_pct,top_source_ip_admin,admin_api_source_cidr,http_method_breakdown_gateway,http_method_breakdown_admin,avg_latency_gateway_ms,avg_latency_admin_ms,waf_blocks,error_rate_gateway_pct,error_rate_admin_pct
2025-10-08,06,8455,8431,24,99.72,0.28,100.64.8.17,100.64.0.0/10,GET:59%|POST:33%|PUT:6%|DELETE:2%,GET:49%|POST:36%|PUT:15%,158,41,19,0.12,0.00
2025-10-08,12,19567,19509,58,99.70,0.30,100.64.12.33,100.64.0.0/10,GET:53%|POST:38%|PUT:7%|DELETE:2%,GET:38%|POST:42%|PUT:20%,198,47,55,0.17,0.00
2025-10-08,18,14532,14493,39,99.73,0.27,100.64.9.55,100.64.0.0/10,GET:60%|POST:32%|PUT:6%|DELETE:2%,GET:46%|POST:39%|PUT:15%,170,42,32,0.11,0.00
2025-10-12,00,4987,4974,13,99.74,0.26,100.64.12.33,100.64.0.0/10,GET:65%|POST:28%|PUT:5%|DELETE:2%,GET:44%|POST:41%|PUT:15%,131,35,7,0.05,0.00
2025-10-12,12,18102,18049,53,99.71,0.29,100.64.14.22,100.64.0.0/10,GET:55%|POST:36%|PUT:7%|DELETE:2%,GET:40%|POST:40%|PUT:20%,186,44,43,0.14,0.00
2025-10-15,06,8621,8596,25,99.71,0.29,100.64.8.17,100.64.0.0/10,GET:58%|POST:34%|PUT:6%|DELETE:2%,GET:50%|POST:35%|PUT:15%,160,42,20,0.13,0.00
2025-10-15,12,20134,20073,61,99.70,0.30,100.64.12.33,100.64.0.0/10,GET:52%|POST:39%|PUT:7%|DELETE:2%,GET:37%|POST:43%|PUT:20%,201,48,58,0.18,0.00
2025-10-15,18,15201,15160,41,99.73,0.27,100.64.9.55,100.64.0.0/10,GET:59%|POST:33%|PUT:6%|DELETE:2%,GET:45%|POST:40%|PUT:15%,175,43,35,0.12,0.00
2025-10-19,00,5234,5220,14,99.73,0.27,100.64.12.33,100.64.0.0/10,GET:63%|POST:30%|PUT:5%|DELETE:2%,GET:43%|POST:42%|PUT:15%,137,36,9,0.06,0.00
2025-10-19,12,18567,18514,53,99.71,0.29,100.64.14.22,100.64.0.0/10,GET:54%|POST:37%|PUT:7%|DELETE:2%,GET:39%|POST:41%|PUT:20%,190,45,47,0.15,0.00
2025-10-22,06,8312,8288,24,99.71,0.29,100.64.8.17,100.64.0.0/10,GET:58%|POST:34%|PUT:6%|DELETE:2%,GET:50%|POST:35%|PUT:15%,155,40,17,0.12,0.00
2025-10-22,12,19823,19764,59,99.70,0.30,100.64.12.33,100.64.0.0/10,GET:53%|POST:38%|PUT:7%|DELETE:2%,GET:38%|POST:42%|PUT:20%,196,47,53,0.17,0.00
2025-10-22,18,14890,14851,39,99.74,0.26,100.64.9.55,100.64.0.0/10,GET:61%|POST:31%|PUT:6%|DELETE:2%,GET:46%|POST:39%|PUT:15%,171,42,30,0.10,0.00
2025-10-26,12,17654,17604,50,99.72,0.28,100.64.14.22,100.64.0.0/10,GET:56%|POST:35%|PUT:7%|DELETE:2%,GET:41%|POST:39%|PUT:20%,181,43,39,0.13,0.00
2025-10-29,06,8534,8510,24,99.72,0.28,100.64.8.17,100.64.0.0/10,GET:59%|POST:33%|PUT:6%|DELETE:2%,GET:49%|POST:36%|PUT:15%,157,41,18,0.12,0.00
2025-10-29,12,20245,20183,62,99.69,0.31,100.64.12.33,100.64.0.0/10,GET:52%|POST:39%|PUT:7%|DELETE:2%,GET:37%|POST:43%|PUT:20%,203,49,60,0.18,0.00
2025-10-29,18,15123,15082,41,99.73,0.27,100.64.9.55,100.64.0.0/10,GET:59%|POST:33%|PUT:6%|DELETE:2%,GET:45%|POST:40%|PUT:15%,174,43,34,0.12,0.00
2025-11-02,00,5012,4998,14,99.72,0.28,100.64.12.33,100.64.0.0/10,GET:64%|POST:29%|PUT:5%|DELETE:2%,GET:44%|POST:41%|PUT:15%,133,35,8,0.06,0.00
2025-11-02,12,18234,18180,54,99.70,0.30,100.64.14.22,100.64.0.0/10,GET:55%|POST:36%|PUT:7%|DELETE:2%,GET:40%|POST:40%|PUT:20%,187,44,44,0.14,0.00
2025-11-05,06,8678,8653,25,99.71,0.29,100.64.8.17,100.64.0.0/10,GET:57%|POST:35%|PUT:6%|DELETE:2%,GET:51%|POST:34%|PUT:15%,161,42,21,0.13,0.00
2025-11-05,12,19456,19395,61,99.69,0.31,100.64.12.33,100.64.0.0/10,GET:53%|POST:38%|PUT:7%|DELETE:2%,GET:38%|POST:42%|PUT:20%,197,47,54,0.17,0.00
2025-11-05,18,14876,14836,40,99.73,0.27,100.64.9.55,100.64.0.0/10,GET:60%|POST:32%|PUT:6%|DELETE:2%,GET:46%|POST:39%|PUT:15%,173,43,33,0.11,0.00
2025-11-09,00,5345,5331,14,99.74,0.26,100.64.12.33,100.64.0.0/10,GET:63%|POST:30%|PUT:5%|DELETE:2%,GET:43%|POST:42%|PUT:15%,136,36,9,0.06,0.00
2025-11-09,12,18678,18624,54,99.71,0.29,100.64.14.22,100.64.0.0/10,GET:54%|POST:37%|PUT:7%|DELETE:2%,GET:39%|POST:41%|PUT:20%,191,45,48,0.15,0.00
2025-11-12,06,8234,8210,24,99.71,0.29,100.64.8.17,100.64.0.0/10,GET:58%|POST:34%|PUT:6%|DELETE:2%,GET:50%|POST:35%|PUT:15%,154,40,16,0.11,0.00
2025-11-12,12,19987,19926,61,99.69,0.31,100.64.12.33,100.64.0.0/10,GET:52%|POST:39%|PUT:7%|DELETE:2%,GET:37%|POST:43%|PUT:20%,200,48,57,0.17,0.00
2025-11-12,18,15234,15193,41,99.73,0.27,100.64.9.55,100.64.0.0/10,GET:59%|POST:33%|PUT:6%|DELETE:2%,GET:45%|POST:40%|PUT:15%,176,44,36,0.12,0.00
2025-11-16,12,17987,17935,52,99.71,0.29,100.64.14.22,100.64.0.0/10,GET:55%|POST:36%|PUT:7%|DELETE:2%,GET:40%|POST:40%|PUT:20%,184,44,42,0.14,0.00
2025-11-19,06,8567,8542,25,99.71,0.29,100.64.8.17,100.64.0.0/10,GET:58%|POST:34%|PUT:6%|DELETE:2%,GET:50%|POST:35%|PUT:15%,159,41,19,0.12,0.00
2025-11-19,12,20456,20393,63,99.69,0.31,100.64.12.33,100.64.0.0/10,GET:51%|POST:40%|PUT:7%|DELETE:2%,GET:36%|POST:44%|PUT:20%,205,49,62,0.19,0.00
2025-11-19,18,15456,15414,42,99.73,0.27,100.64.9.55,100.64.0.0/10,GET:59%|POST:33%|PUT:6%|DELETE:2%,GET:45%|POST:40%|PUT:15%,177,44,37,0.12,0.00
2025-11-23,00,5123,5109,14,99.73,0.27,100.64.12.33,100.64.0.0/10,GET:64%|POST:29%|PUT:5%|DELETE:2%,GET:44%|POST:41%|PUT:15%,134,35,8,0.06,0.00
2025-11-23,12,18345,18291,54,99.71,0.29,100.64.14.22,100.64.0.0/10,GET:55%|POST:36%|PUT:7%|DELETE:2%,GET:40%|POST:40%|PUT:20%,188,44,45,0.14,0.00
2025-11-26,06,8789,8763,26,99.70,0.30,100.64.8.17,100.64.0.0/10,GET:57%|POST:35%|PUT:6%|DELETE:2%,GET:51%|POST:34%|PUT:15%,162,42,22,0.13,0.00
2025-11-26,12,19876,19814,62,99.69,0.31,100.64.12.33,100.64.0.0/10,GET:52%|POST:39%|PUT:7%|DELETE:2%,GET:37%|POST:43%|PUT:20%,199,48,56,0.17,0.00
2025-11-26,18,15012,14971,41,99.73,0.27,100.64.9.55,100.64.0.0/10,GET:60%|POST:32%|PUT:6%|DELETE:2%,GET:46%|POST:39%|PUT:15%,174,43,34,0.11,0.00
2025-11-30,12,17234,17183,51,99.70,0.30,100.64.14.22,100.64.0.0/10,GET:56%|POST:35%|PUT:7%|DELETE:2%,GET:41%|POST:39%|PUT:20%,180,43,38,0.13,0.00
