jira_ticket,cve,severity,cvss_score,title,affected_asset,first_detected,sla_deadline,remediated_date,sla_status,days_to_remediate,days_past_sla,assigned_owner,escalation_status,notes
VULN-10023,CVE-2024-10914,Low,3.6,D-Link NAS Command Injection,nas-dev-03,2025-09-12,2026-03-11,,Open — Within SLA,109,0,IT Operations,None,Isolated — replacement Q1
VULN-10024,CVE-2025-0411,Low,3.2,7-Zip MotW Bypass,dev-ws-35,2025-10-25,2026-04-23,,Open — Within SLA,66,0,Development,None,Low priority endpoint
VULN-10025,CVE-2025-21355,Low,2.5,Microsoft Bing RCE,corp-ws-52,2025-12-08,2026-06-06,,Open — Within SLA,22,0,IT Operations,None,Bing integration disabled
VULN-10026,CVE-2025-21391,Medium,5.5,Windows Installer EoP,web-proxy-06,2025-10-08,2026-01-06,,Open — Within SLA,83,0,Platform Engineering,None,January maintenance window
VULN-10027,CVE-2025-21418,Medium,6.2,WinSock AFD Driver EoP,corp-dc-06,2025-11-01,2026-01-30,,Open — Within SLA,59,0,IT Operations,None,Domain controller maintenance coordination
VULN-10028,CVE-2024-50623,Medium,6.4,Cleo Unrestricted File Upload,mft-prod-03,2025-09-15,2025-12-14,2025-10-02,Met,17,0,Integration Engineering,None,Cleo Harmony upgraded — priority remediation
VULN-10029,CVE-2025-0244,Medium,4.3,Chromium Address Bar Spoofing,corp-ws-fleet,2025-10-18,2026-01-16,2025-10-25,Met,7,0,IT Operations,None,Chrome auto-update deployed fleet-wide
VULN-10030,CVE-2024-43451,Low,3.9,NTLM Hash Disclosure,file-srv-06,2025-09-05,2026-03-04,2025-10-12,Met,37,0,IT Operations,None,October patch cycle
VULN-10031,CVE-2025-21294,Medium,6.7,Digest Auth RCE,legacy-api-05,2025-11-10,2026-02-08,,Open — Within SLA,50,0,Application Engineering,None,Network segmentation compensating control
VULN-10032,CVE-2025-0065,Medium,4.5,TeamViewer Privilege Mgmt,support-ws-05,2025-12-01,2026-02-28,,Open — Within SLA,29,0,IT Operations,None,Awaiting vendor patch release
