change_id,change_date,change_window,change_type,target_systems,patches_applied,pre_validation,post_validation,post_scan_date,post_scan_confirmed,rollback_required,performed_by,approved_by,notes
CHG-2025-1211,2025-09-18,Emergency,Emergency,fortimanager-03,FortiManager 7.6.2,Lab validated Sep 17,FortiManager functional — device sync verified,Not performed,,No,Network Engineering,CISO (emergency),FortiManager upgrade. Post-patch rescan not performed — ticket VULN-10008 not updated.
CHG-2025-1212,2025-10-28,Emergency,Emergency,vpn-backup-01,Ivanti Connect Secure 22.7R2.5,Lab validated Oct 27,VPN connectivity verified,Not performed,,No,Network Engineering,CISO (emergency),Ivanti patch on backup VPN. Post-patch rescan not performed — ticket VULN-10011 not updated.
CHG-2025-1213,2025-12-06,02:00-06:00 UTC,Standard,"app-web-06 web-tier-06 legacy-api-06",Tomcat 9.0.98 / app patches,Staging validated Dec 5,Application health checks passed,2025-12-08,Yes — CVE-2024-50379 remediated,No,Application Engineering,Change Advisory Board,December maintenance — application tier
CHG-2025-1214,2025-12-13,02:00-06:00 UTC,Standard,"corp-ws-fleet (145 endpoints)",KB5045380 KB5045382,Staging validated Dec 12,Desktop validation — spot check 15 endpoints,2025-12-15,Yes — all patches confirmed,No,IT Operations,Change Advisory Board,December Patch Tuesday — corporate endpoints
CHG-2025-1215,2025-12-20,02:00-06:00 UTC,Standard,"file-srv-07 print-srv-08",KB5045385 KB5045387,Staging validated Dec 19,File shares accessible — print queues operational,2025-12-22,Yes — patches confirmed,No,IT Operations,Change Advisory Board,December patch cycle — file and print servers
CHG-2025-1216,2025-11-08,02:00-06:00 UTC,Standard,"hyperv-cluster-06",Hyper-V hotfixes KB5043090,Staging validated Nov 7,Hyper-V health check — all VMs running,2025-11-10,Yes — hotfixes applied,No,Infrastructure Engineering,Change Advisory Board,Hyper-V host maintenance
CHG-2025-1217,2025-10-15,02:00-06:00 UTC,Standard,"exchange-ha-03",Exchange CU October 2025,Staging validated Oct 14,Mail flow tested — OWA verified,2025-10-17,Yes — Exchange CU applied,No,IT Operations,Change Advisory Board,Exchange cumulative update
CHG-2025-1218,2025-11-15,02:00-06:00 UTC,Standard,"app-web-06 app-cluster-01",Application framework patches,Staging validated Nov 14,Application health checks passed,2025-11-17,Yes — framework patches confirmed,No,Application Engineering,Change Advisory Board,November application maintenance
CHG-2025-1219,2025-10-12,02:00-06:00 UTC,Standard,"nas-dev-03",Synology DSM 7.2.2-69057,Staging validated Oct 11,NAS accessible — replication verified,2025-10-14,Yes — firmware updated,No,IT Operations,Change Advisory Board,NAS firmware update
CHG-2025-1220,2025-11-22,02:00-06:00 UTC,Standard,"dev-ws-35 dev-ws-40 dev-ws-45",Developer workstation patches KB5044290,Staging validated Nov 21,Spot check 3 workstations — patches confirmed,2025-11-24,Yes — patches applied,No,IT Operations,Change Advisory Board,November developer workstation patches
CHG-2025-1221,2025-10-20,02:00-06:00 UTC,Standard,"print-srv-08",NTLMv1 disable GPO + KB5043085,Staging validated Oct 19,Print queues functional — NTLMv1 disabled confirmed,2025-10-22,Yes — GPO applied,No,IT Operations,Change Advisory Board,NTLMv1 deprecation and security patch
CHG-2025-1222,2025-12-18,02:00-06:00 UTC,Standard,"web-tier-06",Tomcat 9.0.98 upgrade,Staging validated Dec 17,Tomcat health check passed — all webapps accessible,2025-12-20,Yes — CVE-2024-50379 confirmed remediated,No,Application Engineering,Change Advisory Board,Tomcat framework upgrade
CHG-2025-1223,2025-10-12,02:00-06:00 UTC,Standard,"corp-ws-fleet (145 endpoints)",KB5043076 KB5043078,Staging validated Oct 11,Desktop spot check 15 endpoints — patches confirmed,2025-10-14,Yes — all patches applied,No,IT Operations,Change Advisory Board,October Patch Tuesday — corporate fleet
CHG-2025-1224,2025-11-09,02:00-06:00 UTC,Standard,"corp-ws-fleet (145 endpoints)",KB5044285 KB5044287,Staging validated Nov 8,Desktop spot check 12 endpoints — patches confirmed,2025-11-11,Yes — all patches applied,No,IT Operations,Change Advisory Board,November Patch Tuesday — corporate fleet
CHG-2025-1225,2025-10-02,Emergency,Emergency,mft-prod-03,Cleo Harmony 5.8.0.21,Lab validated Oct 1,MFT file transfers verified — no disruption,2025-10-04,Yes — CVE-2024-50623 confirmed remediated,No,Integration Engineering,CISO (emergency),Emergency Cleo upgrade — unrestricted file upload
CHG-2025-1226,2025-11-15,02:00-06:00 UTC,Standard,"rdp-farm-03 jump-srv-06",NLA enforcement GPO + KB5044295,Staging validated Nov 14,RDP connectivity verified — NLA enforced,2025-11-17,Yes — RDS patches applied,No,Infrastructure Engineering,Change Advisory Board,RDP security hardening
CHG-2025-1227,2025-12-01,02:00-06:00 UTC,Standard,"support-ws-05 remote-ws-03",TeamViewer 15.52.1,Staging validated Nov 30,Remote support connectivity verified,2025-12-03,Yes — TeamViewer updated,No,IT Operations,Change Advisory Board,TeamViewer monthly update
CHG-2025-1228,2025-10-25,02:00-06:00 UTC,Standard,"corp-ws-fleet",Chrome 130.0.6723.58,Auto-update via Chrome Enterprise,Fleet compliance dashboard — 98% updated within 72h,2025-10-27,Yes — CVE-2025-0244 remediated,No,IT Operations,Change Advisory Board,Chrome browser fleet auto-update
