# Environmental Monitoring Log — Q4 2025
# Server Room, Atlas Cloud Services, Suite 420
# Sensor Calibration Status:
#   TEMP-01 (North Wall): Last calibrated 2025-10-10, Next due 2026-04-10 — CURRENT
#   TEMP-02 (South Wall): Last calibrated 2025-04-15, Next due 2025-10-15 — OVERDUE (77 days as of Dec 31)
#   HUM-01 (North Wall): Last calibrated 2025-10-10, Next due 2026-04-10 — CURRENT
#   HUM-02 (South Wall): Last calibrated 2025-04-15, Next due 2025-10-15 — OVERDUE (77 days as of Dec 31)
reading_id,timestamp,sensor_id,sensor_location,measurement_type,value,unit,status,alert_triggered,notes
ENV-1025,2025-10-28 00:00:00,TEMP-01,North Wall,Temperature,70.8,°F,Normal,No,
ENV-1026,2025-10-28 00:00:00,HUM-01,North Wall,Humidity,43.8,%,Normal,No,
ENV-1027,2025-10-28 00:00:00,HUM-02,South Wall,Humidity,44.5,%,Normal,No,
ENV-1028,2025-11-04 00:00:00,TEMP-01,North Wall,Temperature,71.1,°F,Normal,No,
ENV-1029,2025-11-04 00:00:00,TEMP-02,South Wall,Temperature,71.7,°F,Normal,No,
ENV-1030,2025-11-04 12:00:00,HUM-01,North Wall,Humidity,42.5,%,Normal,No,
ENV-1031,2025-11-04 12:00:00,HUM-02,South Wall,Humidity,43.2,%,Normal,No,
ENV-1032,2025-11-11 00:00:00,TEMP-01,North Wall,Temperature,71.3,°F,Normal,No,
ENV-1033,2025-11-11 12:00:00,TEMP-02,South Wall,Temperature,72.0,°F,Normal,No,
ENV-1034,2025-11-18 00:00:00,TEMP-01,North Wall,Temperature,71.5,°F,Normal,No,
ENV-1035,2025-11-18 00:00:00,HUM-01,North Wall,Humidity,43.1,%,Normal,No,
ENV-1036,2025-11-18 00:00:00,HUM-02,South Wall,Humidity,43.9,%,Normal,No,
ENV-1037,2025-11-25 12:00:00,TEMP-01,North Wall,Temperature,71.0,°F,Normal,No,
ENV-1038,2025-11-25 12:00:00,TEMP-02,South Wall,Temperature,71.5,°F,Normal,No,
ENV-1039,2025-12-02 00:00:00,TEMP-01,North Wall,Temperature,71.2,°F,Normal,No,
ENV-1040,2025-12-02 00:00:00,TEMP-02,South Wall,Temperature,72.0,°F,Normal,No,
ENV-1041,2025-12-02 00:00:00,HUM-01,North Wall,Humidity,43.4,%,Normal,No,
ENV-1042,2025-12-02 00:00:00,HUM-02,South Wall,Humidity,44.0,%,Normal,No,
ENV-1043,2025-12-09 12:00:00,TEMP-01,North Wall,Temperature,72.0,°F,Normal,No,
ENV-1044,2025-12-09 12:00:00,TEMP-02,South Wall,Temperature,72.6,°F,Normal,No,
ENV-1045,2025-12-16 00:00:00,TEMP-01,North Wall,Temperature,71.4,°F,Normal,No,
ENV-1046,2025-12-16 00:00:00,HUM-01,North Wall,Humidity,42.8,%,Normal,No,
ENV-1047,2025-12-16 00:00:00,HUM-02,South Wall,Humidity,43.6,%,Normal,No,
ENV-1048,2025-12-23 12:00:00,TEMP-01,North Wall,Temperature,71.8,°F,Normal,No,
ENV-1049,2025-12-23 12:00:00,TEMP-02,South Wall,Temperature,73.2,°F,Normal,No,
ENV-1050,2025-12-30 00:00:00,TEMP-01,North Wall,Temperature,71.1,°F,Normal,No,
ENV-1051,2025-12-30 00:00:00,TEMP-02,South Wall,Temperature,71.9,°F,Normal,No,
ENV-1052,2025-12-30 00:00:00,HUM-01,North Wall,Humidity,43.2,%,Normal,No,
ENV-1053,2025-12-30 00:00:00,HUM-02,South Wall,Humidity,44.5,%,Normal,No,
