check_id,pipeline,check_type,scheduled_time,execution_time,status,source_count,destination_count,discrepancy,action_taken,operator
DIC-4523,payment-reconciliation,checksum,2025-10-21T04:00:00Z,2025-10-21T04:05:48Z,Pass,9180,9180,0,None,automated
DIC-4524,customer-data-export,record_count,2025-11-03T08:00:00Z,2025-11-03T08:11:45Z,Pass,129200,129200,0,None,automated
DIC-4525,order-ingestion,record_count,2025-11-03T02:00:00Z,2025-11-03T02:03:16Z,Pass,14920,14920,0,None,automated
DIC-4526,payment-reconciliation,checksum,2025-11-03T04:00:00Z,2025-11-03T04:05:52Z,Pass,9050,9050,0,None,automated
DIC-4527,bulk-import-validation,record_count,2025-11-12T10:00:00Z,2025-11-12T10:22:18Z,Fail,12000,11847,153,153 rows rejected due to malformed CSV — missing delimiters in rows 4501-4653. Importer accepted partial file without user notification.,ops-team
DIC-4528,order-ingestion,record_count,2025-11-17T02:00:00Z,2025-11-17T02:03:12Z,Pass,15300,15300,0,None,automated
DIC-4529,payment-reconciliation,checksum,2025-11-17T04:00:00Z,2025-11-17T04:05:46Z,Pass,9410,9410,0,None,automated
DIC-4530,inventory-sync,record_count,2025-11-17T06:00:00Z,2025-11-17T06:02:20Z,Pass,52580,52580,0,None,automated
DIC-4531,order-ingestion,record_count,2025-12-01T02:00:00Z,2025-12-01T02:03:14Z,Pass,16100,16100,0,None,automated
DIC-4532,payment-reconciliation,checksum,2025-12-01T04:00:00Z,2025-12-01T04:06:10Z,Pass,9820,9820,0,None,automated
DIC-4533,customer-data-export,record_count,2025-12-02T08:00:00Z,2025-12-02T08:12:05Z,Pass,130100,130100,0,None,automated
DIC-4534,order-ingestion,record_count,2025-12-08T02:00:00Z,2025-12-08T02:03:18Z,Pass,15980,15980,0,None,automated
DIC-4535,payment-reconciliation,checksum,2025-12-08T04:00:00Z,2025-12-08T04:05:55Z,Pass,9650,9650,0,None,automated
DIC-4536,inventory-sync,record_count,2025-12-08T06:00:00Z,2025-12-08T06:02:32Z,Pass,52620,52620,0,None,automated
DIC-4537,order-ingestion,record_count,2025-12-15T02:00:00Z,2025-12-15T02:03:22Z,Pass,16450,16450,0,None,automated
DIC-4538,payment-reconciliation,checksum,2025-12-15T04:00:00Z,2025-12-15T04:06:15Z,Pass,9980,9980,0,None,automated
DIC-4539,bulk-import-validation,record_count,2025-12-18T11:00:00Z,2025-12-18T11:18:40Z,Pass,8500,8500,0,None,automated
DIC-4540,order-ingestion,record_count,2025-12-22T02:00:00Z,2025-12-22T02:03:16Z,Pass,12500,12500,0,None,automated
DIC-4541,payment-reconciliation,checksum,2025-12-22T04:00:00Z,2025-12-22T04:05:50Z,Pass,8200,8200,0,None,automated
DIC-4542,inventory-sync,record_count,2025-12-22T06:00:00Z,2025-12-22T06:02:26Z,Pass,52680,52680,0,None,automated
DIC-4543,order-ingestion,record_count,2025-12-29T02:00:00Z,2025-12-29T02:03:20Z,Pass,11800,11800,0,None,automated
DIC-4544,payment-reconciliation,checksum,2025-12-29T04:00:00Z,2025-12-29T04:06:08Z,Pass,7650,7650,0,None,automated
